PassengerId,Survived
384,1.0
882,0.0
276,1.0
648,0.25
224,0.25
855,1.0
81,0.0
389,0.0
796,0.25
250,0.0
751,1.0
837,0.0
495,0.0
147,0.25
198,0.0
80,0.25
763,0.25
145,0.25
244,0.0
154,0.0
529,0.0
876,0.75
13,0.0
362,0.5
605,0.5
218,0.25
279,0.0
666,0.0
242,1.0
610,1.0
96,0.25
282,0.0
280,0.5
584,0.5
50,0.25
225,0.25
169,0.5
99,1.0
395,0.75
191,1.0
519,1.0
730,0.25
331,0.5
789,0.75
317,0.75
695,0.0
556,0.0
587,0.25
465,0.25
473,1.0
102,0.25
664,0.0
467,0.25
62,1.0
58,0.25
494,0.5
327,0.0
382,0.75
811,0.25
685,0.0
116,0.0
516,0.0
143,0.25
226,0.0
625,0.0
887,0.0
416,0.5
293,0.0
508,0.5
781,0.75
295,0.0
64,0.25
836,1.0
55,0.25
580,0.25
758,0.25
358,1.0
725,0.25
622,0.25
231,1.0
881,1.0
237,0.25
361,0.0
740,0.25
545,0.75
431,0.5
266,0.25
232,0.0
658,0.25
617,0.0
134,1.0
196,1.0
741,0.5
736,0.25
206,0.75
852,0.0
370,1.0
54,1.0
769,0.0
30,0.25
311,1.0
525,0.25
550,0.75
100,0.0
119,0.75
765,0.25
692,0.75
313,0.75
651,0.25
341,0.75
401,0.0
43,0.25
671,1.0
594,0.5
684,0.25
219,1.0
469,0.0
835,0.25
365,0.0
478,0.0
704,0.0
577,1.0
355,0.25
84,0.75
572,1.0
267,0.0
867,1.0
186,0.5
23,0.5
621,0.75
73,0.0
162,1.0
485,0.75
675,0.25
708,0.25
257,0.5
398,0.25
737,0.75
320,1.0
866,1.0
686,0.5
458,0.75
26,0.0
42,1.0
148,0.25
672,0.25
482,0.25
650,0.5
334,0.0
425,0.5
687,0.0
542,0.25
530,0.5
178,1.0
639,0.0
41,0.25
417,0.75
745,0.25
604,0.25
515,0.0
239,0.25
707,1.0
534,0.75
761,0.0
387,0.25
255,0.5
802,0.75
842,0.25
814,0.25
433,1.0
823,0.25
676,0.25
875,1.0
9,0.5
858,0.25
220,0.25
344,0.0
809,0.25
89,0.75
468,0.0
363,0.5
678,0.5
638,0.0
833,0.25
129,0.75
4,1.0
179,0.25
445,0.25
636,1.0
840,0.25
52,0.0
848,0.25
127,0.0
67,1.0
270,1.0
349,0.75
871,0.25
849,0.0
457,0.0
252,0.25
659,0.0
82,0.0
440,0.25
541,1.0
728,0.75
459,1.0
446,1.0
286,0.25
385,0.25
49,0.5
424,0.25
333,0.75
663,0.25
290,0.5
335,1.0
298,1.0
641,0.0
820,0.25
163,0.25
599,0.25
863,1.0
812,0.0
616,1.0
21,0.25
776,0.25
166,1.0
489,0.25
783,0.5
496,0.25
77,0.25
480,0.75
759,0.0
585,0.25
493,0.0
844,0.25
94,0.25
472,0.0
857,1.0
824,0.5
391,0.5
619,0.25
46,0.25
374,0.75
777,0.0
574,0.75
549,0.0
774,0.25
850,0.5
750,0.0
742,0.25
647,0.25
12,1.0
874,0.0
653,0.0
175,0.25
830,1.0
140,0.5
150,0.25
540,1.0
665,0.0
322,0.25
483,0.0
403,0.5
199,0.75
75,0.5
460,0.0
770,0.25
251,0.25
562,0.0
380,0.25
807,0.25
703,0.5
187,1.0
581,0.75
258,1.0
602,0.25
869,0.0
34,0.0
681,0.75
706,0.5
61,0.25
861,0.0
536,0.75
762,0.25
95,0.0
510,0.25
19,0.25
818,0.25
83,0.75
324,0.75
360,0.75
103,0.5
194,0.75
412,0.0
816,0.25
299,0.5
720,0.0
421,0.25
443,0.0
307,0.5
429,0.0
753,0.0
831,0.75
474,1.0
528,1.0
352,0.5
603,0.5
450,0.0
680,1.0
862,0.0
640,0.0
168,0.25
606,0.0
167,0.75
476,0.5
254,0.0
785,0.0
51,0.0
434,0.0
682,0.5
192,0.25
702,0.75
448,0.5
185,0.75
217,0.5
59,0.75
241,1.0
8,0.25
479,0.0
87,0.5
865,0.0
390,1.0
325,0.0
53,1.0
78,0.25
427,1.0
618,0.5
670,0.75
747,0.5
573,0.5
337,0.25
690,1.0
601,0.5
304,1.0
724,0.0
402,0.25
558,0.75
801,0.25
677,0.0
353,0.5
566,0.0
346,0.75
115,0.75
539,0.0
656,0.0
11,0.5
308,1.0
